Comment,Designator,Footprint,LCSC Part #
1N4005W,D6 D8,SOD123,
1N4007W,D3 D4,SOD123,
2.05k,R5,R0402,
3.3k,R7,R0603,
10uF/35V,C4,C0805,
13k,R3,R0402,
22uF,C11 C12 C13,C0603,
4.7uF/400V,C7 C10,E2.5-6,C106324
47uF/16V,C9,C1210,
100nF,C3 C14,C0402,
100uF/16V,C6,C1210,
BAT60B,D1 D5,SOD323-R,
CB2518T102K,L1,L1008,
L78M05CDT-TR,IC3,TO252,C55509
LNK306DG-TL,IC1,SOIC7,C394187
ME6211C33M5G,IC4,SOT23-5,
PNLS6045-102M,L2,L6X6,
SK6812-EC20,LED_IO9,SK6812EC20,
STTH1R06AF,D9,SOD-128,C17290793
USUP_4P_V,J3,1X04_1MM_RA_VERT,C371588
USUP_SPI_CONNECTOR_VERT,J5,1X06_1MM_RA_VERT,C145963
1N4148,D2,SOD323-R,
TS24CA,FLASH RESET,TS24CA,
1k,R11,R0402,
1uF,C5,C0402,
4.7k,R13 R19,R0402,
10k,R1 R2 R4 R8 R9 R10 R12 R14,R0402,
22uF,C2 C8,C0603,
100nF,C1,C0402,
150,R15,R0402,
EL3H7(C)(TA)-G,OK1,MINI-FLAT-4,
ESP32-C3-MINI-1-N4,IC2,ESP32C3MINI1N4,
MMDT3904,Q1,SC70-6,C268586
MOSFET_N-SOT-23,Q2,SOT23,
XH-3A,DS18B20,XH-3A,C2316
2.54-1*6P,PROG,2.54-1*6P,C40877
HF33F/005-HS3,RE1,HF33F/005-HS3,
WJ306V-5.0-2P-14-00A,T1 T2 T3,WJ306V-5.0-2P-14-00A,C3031443
8.2R/2W,R6,0411/3V,C61332
