Designator,Mid X,Mid Y,Layer,Rotation
C3, 8.03,11.51,Top,90.0
C4,-1.35,19.56,Top,270.0
C6,-4.34,19.84,Top,90.0
C7,16.99,18.24,Top,90.0
C9,-8.31,23.27,Top,90.0
C10, 7.49,15.88,Top,270.0
C11, 5.59,25.65,Top,90.0
C12, 2.79,28.96,Top,0.0
C13, 0.05,23.37,Top,90.0
C14,12.73,34.26,Top,0.0
D1,13.67,22.43,Top,0.0
D3,13.23,14.50,Top,270.0
D4,12.42, 9.55,Top,180.0
D5,-5.08, 9.40,Top,0.0
D8, 2.32,18.85,Top,180.0
D9, 5.23, 1.40,Top,0.0
DS18B20,13.06,28.33,Top,90.0
IC1, 5.23, 7.04,Top,180.0
IC3,-4.11,28.27,Top,0.0
IC4, 2.79,25.65,Top,90.0
J3,-15.06,30.35,Top,0.0
J5,-15.06,35.94,Top,0.0
L1,12.00,18.54,Top,0.0
L2,-3.12,13.74,Top,0.0
LED_IO9,12.83,36.04,Top,270.0
PROG,18.03,28.96,Top,90.0
RE1,-14.63,18.90,Top,270.0
R3, 2.36,17.17,Top,0.0
R5, 6.38,12.01,Top,0.0
R6,15.75,12.62,Top,135.0
R7,-6.43,19.81,Top,270.0
T1,-14.73, 4.32,Top,0.0
T2,-4.75, 4.32,Top,0.0
T3,14.73, 4.32,Top,0.0
C1, 7.43,34.80,Bottom,0.0
C2, 7.94,31.24,Bottom,0.0
C5, 7.32,27.56,Bottom,180.0
C8, 7.94,33.27,Bottom,0.0
D2,-14.35,27.81,Bottom,180.0
D6,-4.22, 8.18,Bottom,0.0
FLASH,16.83,39.92,Bottom,180.0
IC2,-0.95,29.48,Bottom,180.0
OK1,-2.59,11.84,Bottom,0.0
Q1,12.40,21.69,Bottom,0.0
Q2,-17.32,24.13,Bottom,270.0
R1, 7.32,28.60,Bottom,180.0
R2,-4.01,22.20,Bottom,90.0
R4,-5.08,22.20,Bottom,90.0
R8, 7.32,29.64,Bottom,180.0
R9,14.43,21.69,Bottom,90.0
R10,10.36,21.69,Bottom,270.0
R11,-13.69,25.10,Bottom,180.0
R12, 2.16,11.71,Bottom,270.0
R13,-13.54,32.03,Bottom,270.0
R14,-14.58,32.03,Bottom,270.0
R15,-2.59,13.89,Bottom,180.0
R19,11.62,28.83,Bottom,270.0
RESET,11.24,39.92,Bottom,180.0
